,text_id,annotators_id,text,initial_paragraph,topic,is_noise_or_spam_text,related_to_election_2024,toxicity,polarized,profanity_obscenity,threat_incitement_to_violence,insults,identity_attack,sexually_explicit,agreement_is_noise_or_spam_text,agreement_related_to_election_2024,agreement_toxicity,agreement_polarized,agreement_profanity_obscenity,agreement_threat_incitement_to_violence,agreement_insults,agreement_identity_attack,agreement_sexually_explicit,cleaned_text
4750,5274-01-01 00:00:00,"['3', '11', '28', '29', '27', '25']",Gay Bot suka s masukin dan jagok isapan nya usia 68 THN tinggal d ://,,LGBTQ+,0,0,1,0,0,0,0,0,1,False,True,False,True,False,True,True,True,False,Gay Bot suka memasukkan dan jagok isapannya usia 68 tahun tinggal di ://
4755,5279-01-01 00:00:00,"['3', '11', '29', '25']",YANG BERBAU GAY TAK BLOKIR OG ISO2 IKI NG TL KU,,LGBTQ+,0,0,1,0,0,0,0,1,0,True,True,False,True,True,True,False,False,True,YANG BERBAU GAY TAK BLOKIR OG ISO2 IKI NG TL KU
4764,5287-01-01 00:00:00,"['3', '11']","Sange garap bini berdua di apartemennya ,istri kelelahan tertidur tibax suami bisik pingin dientot kamu ,yakin mas??? I,mendesah sakit tapi nikmat ,ready open BO for 3 some , pasutri,Tante, suami bisex , Male top Andry : 085967120995",,LGBTQ+,0,0,1,0,0,0,0,0,1,True,True,True,True,False,True,True,True,True,"Sange garap bini berdua di apartemennya, istri kelelahan tertidur, tiba suami bisik pingin dientot kamu, yakin mas??? Aku mendesah sakit tapi nikmat, ready open BO for 3 some, pasutri, tante, suami bisex, male top Andry: 085967120995."
4777,5299-01-01 00:00:00,"['3', '11', '29', '25']","jadi inget pernah ketemu top yang tiba tiba bete karena susah masukin punya dia ke aku, I mean…. lu main tancep tancep aja gimana gw bisa rileks??? capek kalau ketemu cis gay yang gak ngerti pemanasan gitu, kaget ini hati gadis riang gembira 😭",,LGBTQ+,0,0,1,0,0,0,0,0,1,True,True,False,True,True,True,False,False,False,"Jadi ingat pernah ketemu top yang tiba-tiba bete karena susah memasukkan punya dia ke aku, I mean… lu main tancep tancep aja gimana gue bisa rileks??? capek kalau ketemu cis gay yang tidak ngerti pemanasan gitu, kaget ini hati gadis riang gembira 😭"
4782,5302-01-01 00:00:00,"['3', '11']","diajak fwb sama tante"", pas gw samperin malah cowo bangsat. gw anti gay kontol!",,LGBTQ+,0,0,1,0,0,0,0,0,0,True,True,True,True,False,True,True,False,True,"Diajak FWB sama tante, pas gue samperin malah cowok bangsat. Gue anti gay kontol!"
4793,5312-01-01 00:00:00,"['3', '11', '28', '29', '27', '25']",Cowok normal yang mau nyoba disepong sama gay bisa dm gue. Jaksel sekitarnya. #gayjakarta #memektembem #ngeweyuk #SANGE_AAAAAAAAAAAAH #pasutri3some #topjakarta,,LGBTQ+,0,0,1,0,0,0,0,0,1,True,True,False,False,False,True,True,False,False,Cowok normal yang mau nyoba disepong sama gay bisa dm gue. Jaksel sekitarnya. #gayjakarta #memektembem #ngeweyuk #SANGE_AAAAAAAAAAAAH #pasutri3some #topjakarta
4795,5314-01-01 00:00:00,"['3', '11', '29', '25']",-rl semoga kebiasaan suka asbun ini bisa sembuh ya Tuhan. bisa bisanya tadi ngejokes nyuruh kedua temenku cowok buat pacaran. haha dikira semua orang gay kayak lu.. mana tiba tiba diem untung aku langsung ganti topik,,LGBTQ+,0,0,1,0,0,0,0,1,0,True,True,False,True,True,True,False,False,True,"Semoga kebiasaan suka asbun ini bisa sembuh ya Tuhan. Bisa saja tadi ngejokes nyuruh kedua teman ku cowok buat pacaran. Haha dikira semua orang gay kayak lu.. mana tiba-tiba diam, untung aku langsung ganti topik."
4802,5320-01-01 00:00:00,"['3', '11', '28', '29', '27', '25']",Udah bagus stadion di pake main bola ehh malah di pake buat konser Coldplay yang pro LGBT . Buat yang nonton jangan lupa kibarin juga bendera pelangi biar gk nanggung suport hal yg menyimpangnya 😂 . Rahmania Astrini Kamar 15 M,,LGBTQ+,0,0,1,0,0,0,0,1,0,True,True,False,False,True,True,False,False,True,Udah bagus stadion di pake main bola ehh malah di pake buat konser Coldplay yang pro LGBT . Buat yang nonton jangan lupa kibarin juga bendera pelangi biar gk nanggung suport hal yg menyimpangnya 😂 . Rahmania Astrini Kamar 15 M
4803,5321-01-01 00:00:00,"['3', '11', '29', '25']",Mau lu bisex kalo lu pacaran sama cewe cowo bersamaan namanya bangsat.,,LGBTQ+,0,0,1,0,0,0,0,0,0,True,True,False,True,False,True,False,True,False,Mau lu bisex kalo lu pacaran sama cewe cowo bersamaan namanya bangsat.
4804,5322-01-01 00:00:00,"['3', '11', '28', '29', '27', '25']","pembicaraan sama tmn str8 him: kmu mau sepongin ga, nih sepongin (sambil nujukkin tititnya dan ketawa"") me: dih, gay cok dalam hati (pdhl yg gay aku)😔",,LGBTQ+,0,0,1,0,0,0,0,0,0,True,True,False,True,False,True,True,False,False,"Pembicaraan sama teman straightnya: Kamu mau sepongin gak? Nih, sepongin (sambil menunjuk titi‑tinya dan ketawa). Aku: Dih, gay cok dalam hati (padahal yang gay aku) 😔"
4815,5332-01-01 00:00:00,"['3', '11', '28', '29', '27', '25']",Fun Abang sangek hasil bo 1 harian Sehari bisa 10 kali crot Melayani pijit sensual Pasutri LGBT Cewek Bisa wa 088213473620,,LGBTQ+,0,0,1,0,0,0,0,0,1,True,True,False,True,False,True,True,True,False,"FunAbang sange hasil bo 1 harian, sehari bisa 10 kali crot, melayani pijat sensual pasutri LGBT, cewek bisa WA 088213473620"
4817,5334-01-01 00:00:00,"['3', '11', '29', '25']",Oh iyaa Btw Aku menyarankan untuk orang Surabaya atau Indonesia sekalipun. Jangan membuat liga di Gelora Bung Tomo! Karena kalo disingkat nanti jadi LGBT Liga Gelora Bung Tomo,,LGBTQ+,0,0,1,0,0,0,0,1,0,True,True,True,True,True,True,False,True,True,Oh iya by the way aku menyarankan untuk orang Surabaya atau Indonesia sekalipun. JanganmembuatligadiGeloraBungTomo! Karena kalodisingkatnanti jadi LGBT Liga GeloraBungTomo
4821,5338-01-01 00:00:00,"['3', '11', '29', '25']","2 anak kos baru…. Depan kamar… gay semua. Damn, I just saw each of them brought the guy inside. Kamar yang satunya, yang tepat depan kamarku masih menyalah terang. I will see later.",,LGBTQ+,0,0,1,0,0,0,0,0,0,True,True,False,True,False,True,True,False,False,"2 anak kos baru…. Depan kamar… gay semua. Damn, I just saw each of them brought the guy inside. Kamar yang satunya, yang tepat depan kamarku masih menyalah terang. I will see later."
4825,5341-01-01 00:00:00,"['3', '11', '28', '29', '27', '25']",Yang di INDONESIA BESOK TGL 15 NOVEMBER ADA AJAKAN NOLAK COLDPLAY DARI HRZ AYO JANGAN LUPA SHARE SELUAS LUASANYA ! KITA SEMUA ANTI LGBT #AntiLGBT #ColdplayJakarta #TolakKonserColdplayDiIndonesia @RadioElshinta @5t3v3n_P3g3L @DrEvaChaniago @Zulhendribasri1 @cakimiNOW @IATeam___,,LGBTQ+,0,0,1,0,0,0,0,1,0,True,True,True,False,True,True,False,True,True,"Yang di Indonesia besok tanggal 15 November ada ajakan menolak Coldplay dari HRZ, ayo jangan lupa share seluas‑luasnya! Kita semua anti LGBT #AntiLGBT #ColdplayJakarta #TolakKonserColdplayDiIndonesia @RadioElshinta @5t3v3n_P3g3L @DrEvaChaniago @Zulhendribasri1 @cakimiNOW @IATeam___"
4837,5352-01-01 00:00:00,"['3', '11', '29', '25']","💚 cw // lgbt wkt sklh aku punya temen melambai tapi dia suka nutupin kl dia gt tapi ttp ak udh tau sih, pas udh lulus dan gak ketemu tmn tmn sklh dia malah menjadi jadi gini😭",,LGBTQ+,0,0,1,0,0,0,0,1,0,True,True,True,True,True,True,False,False,True,"💚 cw // lgbt wkt sklh aku punya temen melambai tapi dia suka nutupin kl dia gt tapi ttp ak udh tau sih, pas udh lulus dan gak ketemu tmn tmn sklh dia malah menjadi jadi gini😭"
4840,5355-01-01 00:00:00,"['3', '11', '28', '29', '27', '25']",NASIB BOCIL KEBELET CAWAPRES. Uppsss!!! Trend: LGBT Chris Martin Viva La Vida 15 M Bu Mega Coldplay #BABYMONSTER #ViratKohli𓃵 #Temblor,,LGBTQ+,0,0,1,0,0,0,1,0,0,True,False,False,False,True,True,False,True,True,NASIB BOCIL KEBELET CAWAPRES. Uppsss!!! Trend: LGBT Chris Martin Viva La Vida 15 M Bu Mega Coldplay #BABYMONSTER #ViratKohli𓃵 #Temblor
4841,5356-01-01 00:00:00,"['3', '11', '28', '29', '27', '25']","ngimpi ngewein temen smp yang ketemu gede, ternyata dia gay juga 😶 ga sampe masuk, cuma saling gesek aja. nenennya ituloh, juara",,LGBTQ+,0,0,1,0,0,0,0,0,1,True,True,False,True,False,True,True,True,False,"Ngimpi ngewein teman SMP yang ketemu gede, ternyata dia gay juga 😶 tidak sampai masuk, cuma saling gesek aja. Namanya itu loh, juara"
4853,5367-01-01 00:00:00,"['3', '11', '28', '29', '27', '25']","Syarat-syarat jadi e-girl: - Harus item (item bgt juga gpp) - Pap sexy - Tidak boleh gemuk - Anti LGBT - Anti feminis - Selalu bilang ""cantik"" & ""nikahin aku"" ke e-girl lain'nya (tergantung circle)",,LGBTQ+,0,0,1,0,0,0,0,0,0,True,True,False,True,True,True,False,False,False,"Syarat-syarat jadi e-girl: - Harus item (item bgt juga gpp) - Pap sexy - Tidak boleh gemuk - Anti LGBT - Anti feminis - Selalu bilang ""cantik"" & ""nikahin aku"" ke e-girl lain'nya (tergantung circle)"
4855,5369-01-01 00:00:00,"['3', '11', '29', '25']",Buat bunda tante kk Yang mau massage atau pijit bisa wa ya 082111562963 Daerah jkt Depok Tangsel. Maaf saya tidak melayani homo Ataupun gay,,LGBTQ+,0,0,1,0,0,0,0,0,0,True,True,False,True,True,True,False,False,False,Buat bunda tante kk Yang mau massage atau pijit bisa wa ya 082111562963 Daerah jkt Depok Tangsel. Maaf saya tidak melayani homo Ataupun gay
4866,5379-01-01 00:00:00,"['3', '11', '28', '29', '27', '25']",sorry.. paling ga respect sama gay or banci or apalah itu.. jiji njirr.. melawan kodrat.. aga redflag sih kalo ada cewe yang temenan deket sama yang begitu..,,LGBTQ+,0,0,1,0,0,0,0,1,0,True,True,False,True,False,True,False,False,True,Sorry.. paling tidak menghormati gay atau banci atau apalah itu.. jiji njirr.. melawan kodrat.. agak red‑flag sih kalau ada cewek yang berteman dekat dengan yang begitu..
4868,5380-01-01 00:00:00,"['3', '11', '28', '29', '27', '25']","Mekinya doi imut ngegrip bgt, maklum wanita karir dia sangat selektif klo urusan curhat & sex sama stranger! PF sangat beruntung bs ngobrol & menikmati tubuhnya ❤️ (NEXT) Kelas konsul bisa DM gw M28 (privasi terjamin 100%) NO GAY ! (woman only)",,LGBTQ+,0,0,1,0,0,0,0,0,1,True,True,False,True,True,True,True,True,False,"Mekarnya doi imut ngegrip banget, maklum wanita karir dia sangat selektif kalau urusan curhat dan seks sama stranger! PF sangat beruntung bisa ngobrol dan menikmati tubuhnya ❤️ (NEXT) Kelas konsul bisa DM gue M28 (privasi terjamin 100%) NO GAY! (woman only)"
4874,5386-01-01 00:00:00,"['3', '11', '28', '27']",Gay palembang yg masih diluar gassss dm croot bareng,,LGBTQ+,0,0,1,0,0,0,0,0,1,True,True,False,True,True,True,True,True,False,Gay palembang yg masih diluar gassss dm croot bareng
4877,5389-01-01 00:00:00,"['3', '11', '28', '29', '27', '25']",Baru coma OME TV parah si banyak gay anjing padahal nyari tmen ngobrol,,LGBTQ+,0,0,1,0,1,0,0,0,0,True,True,False,True,False,True,False,False,True,"Baru koma OME TV, parah, banyak gay anjing padahal mencari teman ngobrol."
4881,5392-01-01 00:00:00,"['3', '11', '29', '25']","Ngomong yang sering selfie kayak homo, sendirine posting hal yang serupa di feed. Hiya hiya hiya. Boti bisexual denial problematik.",,LGBTQ+,0,0,1,0,0,0,1,0,0,True,True,True,True,True,True,False,False,False,"Ngomong yang sering selfie kayak homo, sendirinya posting hal yang serupa di feed. Hiya hiya hiya. Boti biseksual denial problematik."
4883,5394-01-01 00:00:00,"['3', '11', '28', '27']","Gapapa kecil tapi bisa nyiksa kamu sampai puas nangis"" 🤭 Avail ya scene bdsm sore ini 🥰❣️ Tebet area. Tolong bgt jangan tanya RR lagi. Rate n Rule udah ada diprofilku ❣️ #availjakartaselatan #mistressjakarta #timnasday LGBT Adakami CCTV Selasa Umur 22 IOS 17 #diiket",,LGBTQ+,0,0,1,0,0,0,0,0,1,True,True,False,True,True,True,True,True,False,"Tidak apa-apa kecil tapi bisa menyiksa kamu sampai puas menangis 🤭 Avail ya, scene BDSM sore ini 🥰❣️ Tebet area. Tolong banget jangan tanya RR lagi. Rate and Rule sudah ada di profilku ❣️ #availjakartaselatan #mistressjakarta #timnasday LGBT Adakami CCTV Selasa Umur 22 IOS 17 #diiket"
4891,5400-01-01 00:00:00,"['3', '11', '28', '27']","Konyol! Indonesia Jadi Bahan Olok-olok Dunia, Hukum Dilanggar Demi Anak Penguasa Bisa Maju sebagai Cawapres LGBT TNI AU KDRT 15 M Fix You My Universe Hindia Qory Coty Chris Martin willy dozan Nabil SMTOWN",,LGBTQ+,0,1,1,0,0,0,1,0,0,True,True,False,False,True,True,False,True,True,"Konyol! Indonesia Jadi Bahan Olok-olok Dunia, Hukum Dilanggar Demi Anak Penguasa Bisa Maju sebagai Cawapres LGBT TNI AU KDRT 15 M Fix You My Universe Hindia Qory Coty Chris Martin willy dozan Nabil SMTOWN"
4893,5402-01-01 00:00:00,"['3', '11', '28', '29', '27', '25']","Bisa ga si yg cowo"" gay real acount ajah, jangan so so'an ngaku"" jdi cewe cuma buat minta pap kontol ya minta aja langsung",,LGBTQ+,0,0,1,0,0,0,0,0,0,True,True,False,True,False,True,True,True,False,"Bisa ga si yg cowo"" gay real acount ajah, jangan so so'an ngaku"" jdi cewe cuma buat minta pap kontol ya minta aja langsung"
4895,5404-01-01 00:00:00,"['3', '11', '28', '29', '27', '25']","Lagi Viral nih guys, menjijikan sekali idih Prabowo Gibran Terus Maju #Gibran2024 Bahlil LGBT Panama Arab UNESCO Bima Sakti",,LGBTQ+,0,1,1,0,0,0,1,0,0,False,False,False,False,False,True,False,True,True,"Lagi viral nih guys, menjijikan sekali idi Prabowo, Gibran Terus Maju #Gibran2024 Bahlil LGBT Panama, Arab UNESCO Bimasakti."
4899,5408-01-01 00:00:00,"['3', '11', '28', '29', '27', '25']","gay jgn ngchat gw anj, apalagi smpe nyamar jd cewe",,LGBTQ+,0,0,1,0,0,0,0,0,0,True,True,False,True,False,True,False,False,False,"Gay jangan ngchat gue anjing, apalagi sampai nyamar jadi cewe"
4902,5410-01-01 00:00:00,"['3', '11', '28', '29', '27', '25']",Cegah LGBT Sejak Dini di Dunia Pendidikan,,LGBTQ+,0,0,1,0,0,0,0,1,0,True,True,False,True,True,True,True,False,True,Cegah LGBT Sejak Dini di Dunia Pendidikan
4905,5413-01-01 00:00:00,"['3', '11', '28', '29', '27', '25']",💚 cw // lgbt Temen gw ngaku b0tita biar dapat modusin cewek-cewek. Ternyata dia womanizer njir,,LGBTQ+,0,0,1,0,0,0,0,0,0,True,True,False,True,False,True,True,False,False,"💚 cw // LGBT Temen gue ngaku botita biar dapat modis cewek‑cewek. Ternyata dia womanizer, njir."
4914,5421-01-01 00:00:00,"['3', '11', '28', '29', '27', '25']",Lgbt sange vegabond 15 M kamar Open vcs bugil ready sayang Minat wa 082181905902 #vcs,,LGBTQ+,0,0,1,0,0,0,0,0,1,False,True,False,True,False,True,True,True,False,Lgbt sange vegabond 15 M kamar Open vcs bugil ready sayang Minat wa 082181905902 #vcs
4926,5432-01-01 00:00:00,"['3', '11', '28', '27']",info akun bokep gay asia yg durasinya panjang,,LGBTQ+,0,0,1,0,0,0,0,0,1,True,True,False,True,True,True,True,True,False,info akun bokep gay asia yg durasinya panjang
4931,5437-01-01 00:00:00,"['3', '11', '28', '29', '27', '25']",ga habis pikir sm anak anak penyuka kpop yg jelas jelas idolnya NORMAL malah di GAY GAY in sm tmen se grupnya sendiri,,LGBTQ+,0,0,1,0,0,0,0,0,0,True,True,False,True,True,True,False,False,True,ga habis pikir sm anak anak penyuka kpop yg jelas jelas idolnya NORMAL malah di GAY GAY in sm tmen se grupnya sendiri
4947,5451-01-01 00:00:00,"['3', '11', '29', '25']",day 2 naik tj ketemu gay sama orang bau ketek pdhl masih pagi,,LGBTQ+,0,0,1,0,0,0,0,0,0,True,True,False,True,True,True,False,False,True,day 2 naik tj ketemu gay sama orang bau ketek pdhl masih pagi
4948,5452-01-01 00:00:00,"['3', '11', '28', '29', '27', '25']",pen bgt gw ngetwit kalo gw benci bgt sm gay munafik. kalo mau ngesex ngaku aja. kan bisa pake bahasa yg lucu atau bahasa keren. ga usah kayak yg sok2 pengen kliatan mahal ehh ujung2nya ngentot jg.,,LGBTQ+,0,0,1,0,1,0,0,0,0,True,True,False,True,False,True,False,False,False,pen bgt gw ngetwit kalo gw benci bgt sm gay munafik. kalo mau ngesex ngaku aja. kan bisa pake bahasa yg lucu atau bahasa keren. ga usah kayak yg sok2 pengen kliatan mahal ehh ujung2nya ngentot jg.
4952,5456-01-01 00:00:00,"['3', '11', '28', '29', '27', '25']","Sia mah gay disebut Love is love, ari rumah sakit Palestine di bom disebut defense itself GOBLOG",,LGBTQ+,0,0,1,0,0,0,0,0,0,True,True,False,False,False,True,False,False,True,"Dia malah gay disebut Love is love, di rumah sakit Palestine dibom disebut defense itself GOBLOG"
4957,5460-01-01 00:00:00,"['3', '11', '28', '29', '27', '25']",Malam lgbt 15 m Open vcs sosmed Info tarif Wa aja 0823-1060-8168 / bio #vcs menang total,,LGBTQ+,0,0,1,0,0,0,0,0,0,True,True,False,True,True,True,True,False,False,Malam lgbt 15 m Open vcs sosmed Info tarif Wa aja 0823-1060-8168 / bio #vcs menang total
4970,5472-01-01 00:00:00,"['3', '11', '29', '25']",RASANY W MAU NIKAH AJ AMA GAY. GUE GAMAU NIKAH ADA PERASAAAN. KL AMA GAY KITA BSA SAMA2 BEBAS. W UDH GA KUAT ASLI. KALO ADA DUIT W BELI SILET BUAT BUNDIR,,LGBTQ+,0,0,1,0,0,0,0,0,0,True,True,False,True,True,False,True,False,True,Rasanya aku mau nikah aja sama gay. Gue nggak mau nikah ada perasaan. Kalau sama gay kita bisa sama-sama bebas. Aku udah nggak kuat asli. Kalau ada duit aku beli silet buat bundel.
4972,5474-01-01 00:00:00,"['3', '11', '28', '29', '27', '25']","Seminggu ini udh kenalan sma 2 orang ngakunya discreet. Bisex ,masih umur 23 ngaku VT. Ternyata pass gw rimming langsung minta di masukin, ngakunya jarang jadi B tapi kontol gw yg kata dia gede , masuknya langsung ga pake pelumas 😂😂 tadi di sauna juga gtu",,LGBTQ+,0,0,1,0,1,0,0,0,1,True,True,True,True,False,True,True,True,False,"Seminggu ini udh kenalan sma 2 orang ngakunya discreet. Bisex ,masih umur 23 ngaku VT. Ternyata pass gw rimming langsung minta di masukin, ngakunya jarang jadi B tapi kontol gw yg kata dia gede , masuknya langsung ga pake pelumas 😂😂 tadi di sauna juga gtu"
4979,5480-01-01 00:00:00,"['3', '11', '28', '29', '27', '25']","Mudah2an Jerman panser team ndak ada bau lgbt lagi krn lgbt itu kl ada buang ke perang Hamas🇵🇸biar diazabNya😁pertandingan vs Meksiko harus bersih dari para lgbt,bantai2 aja kl ada lgbt fans #MeksikovsJerman #U17WC",,LGBTQ+,0,0,1,0,0,0,0,0,0,True,True,False,True,True,False,False,False,True,"Mudah2an Jerman panser team ndak ada bau lgbt lagi krn lgbt itu kl ada buang ke perang Hamas🇵🇸biar diazabNya😁pertandingan vs Meksiko harus bersih dari para lgbt,bantai2 aja kl ada lgbt fans #MeksikovsJerman #U17WC"
4980,5481-01-01 00:00:00,"['3', '11', '29', '25']","Waspada akun cewek dikendaliin cowok, ngaku tante tante tau nya bisex atau gay.",,LGBTQ+,0,0,1,0,0,0,0,0,0,True,True,False,True,True,True,True,False,False,"Waspada akun cewek dikendalikan cowok, mengaku tante-tante tahunya biseksual atau gay."
4985,5486-01-01 00:00:00,"['3', '11', '29', '25']","Gue emang akun bokep tapi di sini gak share video bokep anak-anak anjir, mau yang gay atau yang normal. Gue bukan pedofil jadi lu pada gak usah dm tanya-tanya bokep anak-anak ngeri gue. Masa lu pada DM tanyain bokep anak SD, udah sakit jiwa lu pada yaa",,"LGBTQ+, Disabilitas",0,0,1,0,0,0,0,0,0,True,True,False,True,True,True,False,False,False,"Gue emang akun bokep tapi di sini gak share video bokep anak‑anak anjir, mau yang gay atau yang normal. Gue bukan pedofil jadi kalian gak usah DM tanya‑tanya bokep anak‑anak, ngeri gue. Masa kalian DM tanya bokep anak SD, udah sakit jiwa kalian ya."
4991,5491-01-01 00:00:00,"['3', '11', '28', '29', '27', '25']",Knp cowo ganteng kebanyakan pda gay anjir geli bgt wkwkwk😔🤣,,LGBTQ+,0,0,1,0,0,0,0,1,0,True,True,False,True,False,True,False,False,False,"Kenapa cowok ganteng kebanyakan pada gay, anjir, geli banget wkwkwk 😔🤣"
4992,5492-01-01 00:00:00,"['3', '11', '28', '29', '27', '25']","Jadi pengen tanya ke @KangSoera , Maria Bunda Yesus itu statusnya Gadis bukan istri Yoseph. Dalam konteks Kristen, dia istri Yoseph. Pertanyaan: sebagai istri orang, bagaimana kalian tau dia Perawan ? 🤗... apakah Yoseph Gay ?...",,"Kristen, LGBTQ+",0,0,1,0,0,0,0,1,0,True,True,False,False,True,True,False,False,False,"Jadi pengen tanya ke @KangSoera , Maria Bunda Yesus itu statusnya Gadis bukan istri Yoseph. Dalam konteks Kristen, dia istri Yoseph. Pertanyaan: sebagai istri orang, bagaimana kalian tau dia Perawan ? 🤗... apakah Yoseph Gay ?..."
4994,5494-01-01 00:00:00,"['3', '11', '28', '29', '27', '25']",real lama lama bocah jadi igun kaya gay,,LGBTQ+,0,0,1,0,0,0,0,1,0,True,True,False,True,True,True,False,False,True,Real lama-lama bocah jadi igun kayak gay
5101,5590-01-01 00:00:00,"['3', '11', '28', '29', '27', '25']",PDIP Usul Penutupan Pesantren di Indonesia,"“CUKUP VIRALKAN INI DAN DIKOPI KASIKAN KE RAKYAT PLOSOK PLOSOK DESA INSYA ALLAH PASTI TUMBANG DAN PASTI DIBENCI SAMA RAKYAT KAUM PEDESAAN PERDALAMAN

PDIP USUL KE PEMERINTAH AGAR PESANTREN DI TUTUP SELURUH INDONESIA”",UNKNOWN,0,0,1,1,0,0,0,0,0,True,False,False,False,True,False,True,False,True,PDIP Usul Penutupan Pesantren di Indonesia
5136,5621-01-01 00:00:00,"['3', '11', '28', '29', '27', '25']","Tiga Partai Bersatu: PAN, Golkar, dan PKS Sepakat Jadikan Anies Baswedan Calon Tunggal",“Kubu sebelah panik total !! Akhirnya 3 partai resmi bersatu menjadikan Anies calon tunggal di 2024”,UNKNOWN,0,1,0,1,0,0,0,0,0,True,False,False,False,True,True,False,False,True,"Tiga Partai Bersatu: PAN, Golkar, dan PKS sepakat menjadikan Anies Baswedan calon tunggal."
5143,5628-01-01 00:00:00,"['3', '11', '29', '25']",MENOLAK LUPA. MAKANYA JANGAN SIPILIH YANG SUDAH CACAT INI. TETAP PILIH NOMOR TIGA: GANJAR MAHFUD,,Disabilitas,0,0,1,1,0,0,0,0,0,True,False,False,False,True,True,False,True,True,MENOLAK LUPA. MAKANYA JANGAN SIPILIH YANG SUDAH CACAT INI. TETAP PILIH NOMOR TIGA: GANJAR MAHFUD
5157,5640-01-01 00:00:00,"['3', '11', '28', '29', '27', '25']",Mau nanya kepada pendukung Anis Baswedan sama Ganjar Pranowo apakah anda sadar mau dibikin wayang golek sama Surya Paloh dan Megawati mau di jadikan boneka cina mau mau nya kalian coba sadar,,Tionghoa,0,1,1,1,0,0,1,0,0,True,False,False,False,True,True,False,False,True,Mau nanya kepada pendukung Anis Baswedan sama Ganjar Pranowo apakah anda sadar mau dibikin wayang golek sama Surya Paloh dan Megawati mau di jadikan boneka cina mau mau nya kalian coba sadar
5168,5650-01-01 00:00:00,"['3', '11', '28', '27']","Pajak yang dibayarkan untuk mensubsidi otak cebong, sekarang digunakan untuk proyek Cina di Indonesia",,Tionghoa,0,0,1,0,0,0,1,0,0,True,False,True,False,False,True,True,False,True,"Pajak yang dibayarkan untuk mensubsidi otak cebong, sekarang digunakan untuk proyek Cina di Indonesia"
5183,5664-01-01 00:00:00,"['3', '11', '28', '29', '27', '25']","orang kok pada jenius & puinter ya. uda pada tau, klo aku itu DUDA. kok bisa2nya di calonkan jd presiden. apa orang2 ini pd idiot ya?,",,Disabilitas,0,0,1,0,0,0,1,0,0,True,False,False,False,True,True,False,True,True,"orang kok pada jenius & puinter ya. uda pada tau, klo aku itu DUDA. kok bisa2nya di calonkan jd presiden. apa orang2 ini pd idiot ya?,"
5184,5665-01-01 00:00:00,"['3', '11', '28', '29', '27', '25']","""MALAM MINGGU QNGOBROL SAMA CEBONG PAS LAGI RONDA.."" 

Cebong : "" Bang kayaknya skrg loe exis banget di FB 

ANE      : "" Ah .. biasa aj .. cuma kadang2 aj buat postingan""

Cebong : "" wahh .. ""

Cebong :"" Yaaaah bang boro2 mo ngelamar ditempat lain yang ada juga lg pada dikeluar-keluarin orang yg pada kerja ""

ANE    : "" Lha bukannya lapangan kerja banyak sekarang ""

Cebong : ""BORO-BORO  BANG ... KATA SIAPA LAPANGAN  KERJA BANYAK KLO ADA YG NGOMONG GITU GUE SEMBAAAH  BANG...""

ANE   : ""Lhaaa tadi khan loe yang bilang lpangan kerja  banyak karena banyaknya pembangunan sono  kita semakin bagus sekarang,...""

MOHON MAAF KEJADIAN BERIKUTNYA AGAK  CANGGUNG...

TETANGGA ANE ITU LANGSUNG NGELOYOR MASUK KERUMAHNYA,NGGA JADI RONDA

YA AMPUUUNNN SEGITUNYA ..
SALAH ANE BANGEET EMANGNGNYA NGOMONG NGINGETIN OMONGAN DIA TADI!!",,UNKNOWN,0,0,1,1,0,0,1,0,0,True,False,False,False,True,True,False,True,True,"""MALAM MINGGU QNGOBROL SAMA CEBONG PAS LAGI RONDA.."" 

Cebong : "" Bang kayaknya skrg loe exis banget di FB 

ANE      : "" Ah .. biasa aj .. cuma kadang2 aj buat postingan""

Cebong : "" wahh .. ""

Cebong :"" Yaaaah bang boro2 mo ngelamar ditempat lain yang ada juga lg pada dikeluar-keluarin orang yg pada kerja ""

ANE    : "" Lha bukannya lapangan kerja banyak sekarang ""

Cebong : ""BORO-BORO  BANG ... KATA SIAPA LAPANGAN  KERJA BANYAK KLO ADA YG NGOMONG GITU GUE SEMBAAAH  BANG...""

ANE   : ""Lhaaa tadi khan loe yang bilang lpangan kerja  banyak karena banyaknya pembangunan sono  kita semakin bagus sekarang,...""

MOHON MAAF KEJADIAN BERIKUTNYA AGAK  CANGGUNG...

TETANGGA ANE ITU LANGSUNG NGELOYOR MASUK KERUMAHNYA,NGGA JADI RONDA

YA AMPUUUNNN SEGITUNYA ..
SALAH ANE BANGEET EMANGNGNYA NGOMONG NGINGETIN OMONGAN DIA TADI!!"
5185,5666-01-01 00:00:00,"['3', '11', '28', '27']","Tnpa bermaksud menggurui Pilih la pemimpin yg telah berpengalaman , pya rekam jejak yg jelas, elektabilitas dan kredibilitas nya mumpuni . di gembleng dr bawah dan ta pernah cacat hukum Bkn yg instan sprti Indomie",,Disabilitas,0,1,1,1,0,0,1,0,0,True,True,False,True,True,True,False,True,True,"Tnpa bermaksud menggurui Pilih la pemimpin yg telah berpengalaman , pya rekam jejak yg jelas, elektabilitas dan kredibilitas nya mumpuni . di gembleng dr bawah dan ta pernah cacat hukum Bkn yg instan sprti Indomie"
